1	Renaissance	0-0-1300	0-0-1600	Europe	Période Historique
2	Invention de la Imprimerie, par Gutenberg	0-0-1450		Europe	Event Historique
3	Chute de Constantinople	0-0-1453		Europe	Event Historique
4	Siècle des Lumières	0-0-1715	0-0-1789	Europe	Période Historique
5	« L'Éncyclopedie » de Diderot et Alembert, période d'edition	0-0-1751	0-0-1772		
6	Époque Victorienne Britanique	0-0-1837	0-0-1901		
7	Publication: De l'origine des espèces, de Charles Darwin	0-0-1859			
8	La cloche Big Ben sonne pour la première fois	31-5-1859			
9	Machine à Vapeur: Mise au point par James Watt	0-0-1776			
10	Classicisme	0-0-1660	0-0-1725		
11	Indépendence des États-Unis	0-0-1776			
12	Révolution Française	5-5-1789	9-11-1799		
13	Prise de la Bastille	14-7-1789			
14	Bonpland: Voyage aux régions equinoxiales	0-0-1799	0-0-1804		
15	Proclamation de l'Indépendance Argentine de la Couronne Espagnole	25-5-1810		Buenos Aires - Argentine	social
16	Bonpland et sa famille arrivent à Buenos Aires	29-1-1817		Buenos Aires - Argentine	voyage; vie personelle
17	Telegraphie: Première Communication (ligne-simple) entre Baltimore et Washington	24-5-1844			
18	Telegraphie: Première Communication interAtlantic entre British NorthAmerica et L'Irelande	16-8-1858			
19	Daguerrotype présenté au public	0-0-1839			